user_id,step,question_type,question_text,button_label,json_choices,choice,choice_numeric,text,answer_date,sample_type
generation1,1,reading,"<h2>Informed Consent</h2>
<p>We are a team of university researchers. We want to understand in detail what people like you think about social questions, in this case about abortion. We want to study the diversity of people’s beliefs, and whether algorithmic tools can help summarize and analyze these differing points of view.</p>
<p><b>What will I need to do and how long will the study last?</b><br>
We will ask you <b>10 questions</b>.
We expect that you will be in this research study for less than an hour. </p>

<p><b>Compensation</b><br>
Your pay will <b>not</b> depend on your opinions: all good-faith responses will get fully compensated, so please just write what you think.
You may not use ChatGPT or other AI tools to write or edit your responses.
<b>We will award a $1 bonus</b> if your submission satisfies all minimum length requirements across all questions.</p>

<p><b>Who will see your responses?</b><br>
The data you provide will be immediately anonymized. We may later on publish this anonymous data. By continuing this survey, you agree to this use of your responses.</p>

<p><b>Who can I talk to?</b><br>
If you have questions, concerns, complaints, or think the research has hurt you, you can contact the research team at gilirusak@g.harvard.edu.</p>",Continue,,,,,2024-08-08,generation
generation1,2,reading,"<h2>Part 1/3: Background Questions</h2>
<p>We will begin by asking you <strong>4 questions</strong> touching on specific parts of your opinion.</p>",Continue,,,,,2024-08-08,generation
generation1,3,text,"<h3>Background Questions</h3>
<p><strong>How often do think about abortion or discuss it with others?</strong> How does this topic make you feel?</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,,,,"I don't know that I think about or discuss it very often, though I certainly have done more of both since Roe v. Wade was overturned. Anyone around me with whom I would discuss it has the same views as I do---that it's free access is vital, that it is an issue of bodily autonomy that should not be interfered with by the state, that is it is not immoral or criminal, and that the life (both in terms of being alive, but also living a life that one wants) of an adult woman is vastly more important than the life or ""rights"" of a fetus. So I guess what I'm trying to say is that I don't discuss it much with those around me because there isn't much to say other than lamenting the injustice of having that right taken away from women. The idea of abortion, the act itself, does not bother me in the least. I've never had one, but I would not hesitate to do so were I to find myself pregnant as I do not want to have children. I would not feel bad about it, I would not mourn the unborn fetus, I would not agonize over the choice. I would treat it as I would, emotionally, any other medical intervention. The debate around it, however, makes me incredibly angry. Irate. Because the restrictions on it exist almost purely to control the lives of women, no matter how it is couched (generally in terms of religious objection). It is just a glaring example of the lack of respect for women's autonomy, for their position in the world as fully realized people and citizens. It is used to keep them in a position of subordinance, to oppress. Without access to abortion women will never truly be free to live in an actualized way.  ",2024-08-08,generation
generation1,4,text,"<h3>Background Questions</h3>
<p><strong>Do you think abortion should be legal or illegal?</strong> Which circumstances does your answer depend on?</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,,,,"Legal, without a doubt. It's illegality is baffling in the modern secular world. My answer does not depend on any circumstances at all: if a person wants an abortion they should be able to get one, full stop. Once the fetus becomes developed enough to be viable outside the womb---viable in the sense of being able to grow and thrive, not just survive while hooked to all amalgamation of tubes and contraptions---things certainly become murky. But my inclination will always be towards its full access and legality. If a person does not want to birth a child they should not be forced to.",2024-08-08,generation
generation1,5,text,"<h3>Background Questions</h3>
<p><strong>Where do your beliefs about abortion come from?</strong> For example, did particular life experiences influence your beliefs?</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,,,,"My beliefs come from my lived experience as a human being. Freedom is vital to every living creature. The idea that someone can delineate to me exactly what decisions I am allowed to make concerning the only thing that is truly mine---my body, my corporeal self---is an anathema to me. I cannot stand it, it makes me want grit my teeth into dust, it makes me so angry. No man would consent to the amount of restrictions placed upon a woman's autonomy, both as it existed in the past and in today's world. Any person who does not believe in the free access of abortion to women does not believe women are fully-formed, thinking, feeling, breathing creatures just as themselves. They believe they are other in some way and must be treated as such. ",2024-08-08,generation
generation1,6,text,"<h3>Background Questions</h3>
<p><strong>Can you describe a situation where you are not sure if abortion is appropriate or not?</strong> If so, what makes this situation borderline or unclear?</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,,,,"Almost none, truly. Abortion is appropriate in basically any situation in which a woman has decided she needs one. However,  as I said in another answer things do become more ethically ambiguous once the fetus is developed to such a degree as to basically be what be what we as a society consider an infant. As a person who believes in the rights of the child in an actual way (not in the way that those who oppose abortion will wield this point to act as evidence of their moral righteousness) then I must concede that at some point the fetus becomes a person, and a person has rights. But I think a woman's right to abortion should supersede that of a fetus is most scenarios. I lean closer to the belief that a fetus is not a person until it is born, though this is a point that I could think over philosophically for quite a while and never feel that I've settled the question.",2024-08-08,generation
generation1,7,reading,"<h2>Part 2/3: Your Position</h2>
<p>This part only has <strong>one question</strong>.
We will ask you to summarize, in three sentences, your overall position on abortion.</p>",Continue,,,,,2024-08-08,generation
generation1,8,text,"<h3>Your Position</h3>
<p>Summarize your position on abortion in your own words.
Please write <strong>how you think society should deal with abortions</strong>, and <strong>give reasons</strong> that support this policy.</p>
<p>Please write <strong>exactly 3 sentences</strong>: Be as precise as possible and prioritize the points that are most important to you.
Your answer should be self-contained, which means that you can repeat things you already wrote as well as make new points. </p>",,,,,"Reproduction freedom, including access to abortion is a fundamental aspect of the unalienable right of an individual to control their bodily autonomy. A fetus belongs to the individual who possesses the womb it inhabits, and thus any decision made about that fetus should be the concern of only that person. The ability of an individual to traverse the path to liberation does not exist without easy and safe access to abortion.",2024-08-08,generation
generation1,9,reading,"<h2>Part 3/3: Candidate Summaries</h2>
<p>To help researchers and policymakers understand public opinion on abortion, we will condense the survey responses into a short summary.
We will now present <strong>5 candidate summaries</strong> to you, and your task is to rate to what extent they would capture your point of view.</p>
<p>An ideal summary should</p>
<ol>
<li>perfectly capture all your thoughts and feelings on abortion,</li>
<li>include the reasoning behind your opinion, and</li>
<li>be concrete and actionable.</li>
</ol>",Continue,,,,,2024-08-08,generation
generation1,10,multiple choice + text,"<h3>Candidate Summaries</h3>
<p>Here is a possible summary:</p>
<blockquote>
<p><em>“I believe that abortion should be legal and accessible because women have the right to make decisions about their own bodies. Access to safe abortions is crucial for protecting women's health and well-being. Society should support comprehensive sex education and contraception to reduce the need for abortions.”</em></p>
</blockquote>
<p>How well does this summary capture your viewpoint on abortion?
Explain which parts you <strong>agree</strong> with, which parts you <strong>disagree</strong> with, and what would need to be <strong>added or made more concrete</strong> to fully represent your viewpoint.</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,"['very poorly', 'poorly', 'moderately', 'well', 'very well', 'excellently', 'exceptionally']",moderately,2.0,"I think this capture's my viewpoint moderately well. I do believe that abortion access is tied to women's health, but that is not the main arguing point for me, which rests rather predominantly on the idea of bodily autonomy over everything else. I do think sex education and contraception are also important, but this reads to me a bit as a talking point meant to placate those who find the act of abortion immoral. In the sense that abortions should be rare. But I personally don't find anything wrong with the act. I'm not advocating for the use of abortion as contraceptive as a personal belief, but if that's what someone wants to do I don't really care. ",2024-08-08,generation
generation1,11,multiple choice + text,"<h3>Candidate Summaries</h3>
<p>Here is a possible summary:</p>
<blockquote>
<p><em>“I believe that abortion should be allowed in the first trimester but restricted afterward unless there are exceptional circumstances. This policy respects a woman's right to choose while recognizing the increasing moral considerations as the pregnancy progresses. Society should invest in education and healthcare to prevent unwanted pregnancies and support women through their reproductive choices.”</em></p>
</blockquote>
<p>How well does this summary capture your viewpoint on abortion?
Explain which parts you <strong>agree</strong> with, which parts you <strong>disagree</strong> with, and what would need to be <strong>added or made more concrete</strong> to fully represent your viewpoint.</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,"['very poorly', 'poorly', 'moderately', 'well', 'very well', 'excellently', 'exceptionally']",very poorly,0.0,"While this summary isn't the most restrictive opinion, I would still say that it represents my views very poorly because it is built upon the idea that abortion is wrong and that the rights of the fetus at some point supersede those of the mother. The last sentence is especially egregious because it feels tacked on and seems to communicate a lackluster, half-hearted attempt at displaying some respect for women's rights. You do not respect a woman's choices if you think she only gets three months to decide what she wants to do with her body. ",2024-08-08,generation
generation1,12,multiple choice + text,"<h3>Candidate Summaries</h3>
<p>Here is a possible summary:</p>
<blockquote>
<p><em>“I believe that abortion should be illegal because it involves taking a human life, which I consider morally wrong. Society should focus on providing resources and support for pregnant women to encourage them to choose life. Adoption should be promoted as a viable alternative to abortion.”</em></p>
</blockquote>
<p>How well does this summary capture your viewpoint on abortion?
Explain which parts you <strong>agree</strong> with, which parts you <strong>disagree</strong> with, and what would need to be <strong>added or made more concrete</strong> to fully represent your viewpoint.</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,"['very poorly', 'poorly', 'moderately', 'well', 'very well', 'excellently', 'exceptionally']",very poorly,0.0,"This one also does not align at all with my view, though for more obvious reasons. That being this view is that abortion is fundamentally wrong, which I do not believe. I do not believe that killing a fetus is akin to killing a human being. I think ""choosing life"" should mean allowing a woman to choose the life she wants to live, not be forced into birthing a child she does not want. I find the grandstanding about how adoption is a viable alternative to be completely disrespectful and absolutely ignorant of the mental and physical toil that a pregnant body inflicts upon a woman. The idea that pregnancy and birth is easy and safe, especially in a country like the United States which has such a high maternal mortality rate compared to other developed nations, is laughable. This magical thinking makes it easier for the opponent of abortion to conflate a woman's choice to abort in purely selfish terms. ",2024-08-08,generation
generation1,13,multiple choice + text,"<h3>Candidate Summaries</h3>
<p>Here is a possible summary:</p>
<blockquote>
<p><em>“I think abortion should be a personal decision between a woman and her doctor, without government interference. Each situation is unique, and women should have the autonomy to make the best choice for themselves and their families. Society should ensure that all women have access to affordable healthcare, including reproductive services.”</em></p>
</blockquote>
<p>How well does this summary capture your viewpoint on abortion?
Explain which parts you <strong>agree</strong> with, which parts you <strong>disagree</strong> with, and what would need to be <strong>added or made more concrete</strong> to fully represent your viewpoint.</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,"['very poorly', 'poorly', 'moderately', 'well', 'very well', 'excellently', 'exceptionally']",excellently,5.0,"This view aligns excellently with my own. I don't really have anything to add or take away. Perhaps a little more about freedom in the sense of autonomy, rather than autonomy in the sense of making one's own decisions. But overall, this view is very similar to my own. ",2024-08-08,generation
generation1,14,multiple choice + text,"<h3>Candidate Summaries</h3>
<p>Here is a possible summary:</p>
<blockquote>
<p><em>“I think abortion should be restricted to certain circumstances, such as cases of rape, incest, or when the mother's life is at risk. This approach balances the rights of the unborn with the needs of women facing difficult situations. Society should provide support for women who carry their pregnancies to term, including healthcare and financial assistance.”</em></p>
</blockquote>
<p>How well does this summary capture your viewpoint on abortion?
Explain which parts you <strong>agree</strong> with, which parts you <strong>disagree</strong> with, and what would need to be <strong>added or made more concrete</strong> to fully represent your viewpoint.</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,"['very poorly', 'poorly', 'moderately', 'well', 'very well', 'excellently', 'exceptionally']",very poorly,0.0,"Awful. Honestly, the people who advocate for abortions in only limited instances are somehow worse to me than those that want to ban it outright. At least the hardliners are being honest in their hatred of women. The argument that only women who have suffered some great torment should be allowed to access abortion care is patronizing and infuriating. Like they earned their abortion, that the sin of abortion is atoned for by their suffering---disgusting. I suppose I can say that I agree with the last sentence, but that is because I believe everyone deserves healthcare and financial support from the government if they need it. But the sentiment rings hollow to me due to the preceding lines. ",2024-08-08,generation
generation1,15,reading,"<h2>Thank you for completing the survey!</h2>
<p>Click below to register your survey completion with Prolific and return to their website.</p>",Return to Prolific,,,,,2024-08-08,generation
generation2,1,reading,"<h2>Informed Consent</h2>
<p>We are a team of university researchers. We want to understand in detail what people like you think about social questions, in this case about abortion. We want to study the diversity of people’s beliefs, and whether algorithmic tools can help summarize and analyze these differing points of view.</p>
<p><b>What will I need to do and how long will the study last?</b><br>
We will ask you <b>10 questions</b>.
We expect that you will be in this research study for less than an hour. </p>

<p><b>Compensation</b><br>
Your pay will <b>not</b> depend on your opinions: all good-faith responses will get fully compensated, so please just write what you think.
You may not use ChatGPT or other AI tools to write or edit your responses.
<b>We will award a $1 bonus</b> if your submission satisfies all minimum length requirements across all questions.</p>

<p><b>Who will see your responses?</b><br>
The data you provide will be immediately anonymized. We may later on publish this anonymous data. By continuing this survey, you agree to this use of your responses.</p>

<p><b>Who can I talk to?</b><br>
If you have questions, concerns, complaints, or think the research has hurt you, you can contact the research team at gilirusak@g.harvard.edu.</p>",Continue,,,,,2024-08-08,generation
generation2,2,reading,"<h2>Part 1/3: Background Questions</h2>
<p>We will begin by asking you <strong>4 questions</strong> touching on specific parts of your opinion.</p>",Continue,,,,,2024-08-08,generation
generation2,3,text,"<h3>Background Questions</h3>
<p><strong>How often do think about abortion or discuss it with others?</strong> How does this topic make you feel?</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,,,,"Others I think try not to think about abortion, unless it has affected them personally, and then maybe even more so. It is very rarely discussed.  It makes me feel sad, because with freely available actual sex ed (there's many ways to enjoy sex that are very unlikely to make kids!) and birth control the need for abortion would be rare.  I am very pro-choice but I become uncomfortable when there's no medical reason past the time that the child could live outside the womb.  I was born after only seven months in the late seventies when that was no joke. ",2024-08-08,generation
generation2,4,text,"<h3>Background Questions</h3>
<p><strong>Do you think abortion should be legal or illegal?</strong> Which circumstances does your answer depend on?</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,,,,"I think abortion should be legal until approximately twenty weeks and after that for the health (MENTAL TOO) of the mother when needed. I think the ""morning after"" pill should be very freely available.  I think both services should be FREE.  I do think offering and I mean OFFERING, not lecturing, that the parent could also carry the child and then have it be adopted with support is reasonable, but harassing people who do not want anything to do with this is cruel and religious tyranny.",2024-08-08,generation
generation2,5,text,"<h3>Background Questions</h3>
<p><strong>Where do your beliefs about abortion come from?</strong> For example, did particular life experiences influence your beliefs?</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,,,,"I am a Gnostic Satanist, I do not think this world is a positive or well-intended place, and I do not think one of the few pleasures we have--orgasm and sexual intimacy--should be punished by forced childbearing when we now have the technology to prevent that from ever occurring. Nor should another soul, frankly, be brought into this place to suffer for the benefit of others.",2024-08-08,generation
generation2,6,text,"<h3>Background Questions</h3>
<p><strong>Can you describe a situation where you are not sure if abortion is appropriate or not?</strong> If so, what makes this situation borderline or unclear?</p>
<p><em>(Please write</em> <strong>two</strong> <em>or more sentences.)</em></p>",,,,,"I do feel bad that the sperm-contributor involved has essentially no say, particularly if they truly want the child and could support it, but I think asking another person to host a third person inside themselves for your wishes is a bridge too far.  If we had a machine that could click-click and now the sperm-donor can carry the baby that would help, ha, but that's extremely unlikely, and I suspect if it were possible suddenly a lot of these people would no longer be quite so interested in having a baby!",2024-08-08,generation
generation2,7,reading,"<h2>Part 2/3: Your Position</h2>
<p>This part only has <strong>one question</strong>.
We will ask you to summarize, in three sentences, your overall position on abortion.</p>",Continue,,,,,2024-08-08,generation
generation2,8,text,"<h3>Your Position</h3>
<p>Summarize your position on abortion in your own words.
Please write <strong>how you think society should deal with abortions</strong>, and <strong>give reasons</strong> that support this policy.</p>
<p>Please write <strong>exactly 3 sentences</strong>: Be as precise as possible and prioritize the points that are most important to you.
Your answer should be self-contained, which means that you can repeat things you already wrote as well as make new points. </p>",,,,,"Abortion should be safe, legal, freely available regardless of poverty level, and very rare. No health care practitioner has any business shaming anyone who seeks abortion care. Nobody has any business passing legislation that forces any person to carry a child no matter how they came to be with that child. ",2024-08-08,generation
generation2,9,reading,"<h2>Part 3/3: Candidate Summaries</h2>
<p>To help researchers and policymakers understand public opinion on abortion, we will condense the survey responses into a short summary.
We will now present <strong>5 candidate summaries</strong> to you, and your task is to rate to what extent they would capture your point of view.</p>
<p>An ideal summary should</p>
<ol>
<li>perfectly capture all your thoughts and feelings on abortion,</li>
<li>include the reasoning behind your opinion, and</li>
<li>be concrete and actionable.</li>
</ol>",Continue,,,,,2024-08-08,generation
