user_id,step,question_type,question_text,button_label,json_choices,choice,choice_numeric,text,answer_date,sample_type
generation1,1,reading,"
Survey on Chatbot Personalization


Informed Consent

What should I know about a research study?
Whether or not you take part is up to you. You can change your mind about participating at any time. However, you need to complete the survey to receive payment.


What is the purpose of this research?
This research investigates the role that artificial intelligence (AI) can play in facilitating and summarizing conversations in large groups. The hope is that AI models, such as GPT-4, can improve the way we make decisions in large groups. We also hope to learn what people like you think about how AI model should behave.


How long will the research last and what will I need to do?
We expect that you will be in this research study for well below an hour. We will ask you a number of questions about your opinions on what artificial intelligence should or should not be allowed to do. We will ask you how you believe a chatbot system should behave in certain scenarios, and we will ask what you think about the opinions formulated by fellow participants of the study.


Who will see your responses?
The data you provide will be anonymized immediately. We may later on publish this anonymous data. We might also show some of your responses to other participants to learn if they feel similarly or differently about the topic. By continuing this survey, you agree to this use of your responses.


Is there any way being in this study could be bad for me?
We don't believe there are any risks from participating in this research, unless you do not wish to discuss political topics.


Will being in this study help me in any way?
There are no benefits to you from your taking part in this research. Possible benefits to society include an enhanced understanding of how AI can be used for democracy.


What else do I need to know?
This research is funded by the Harvard John A. Paulson School of Engineering and Applied Sciences and a grant from OpenAI.


How will I be compensated?
As we showed you on Prolific, you will receive a flat payment for your participation in the survey (aiming for an hourly compensation of $10-$15/hour). If we indicate so in the survey, you may receive additional bonus payments. If you do not fill out the questions in good faith, we reserve the right to withhold payment, in accordance to Prolific rules.


Who can I talk to?
If you have questions, concerns, or complaints, or think the research has hurt you, you may talk to the research team at gilirusak@g.harvard.edu.
",Accept,,,,,2023-11-01,generation
generation1,2,reading,"
Background on Chatbots
You might have heard about new chatbots such as “ChatGPT”. Think of a chatbot as a website that uses artificial intelligence (AI) to mimic human conversation through text. The following is an example of a user asking ChatGPT a question:



Many people use them to

obtain information (for example by asking “What are the most famous things to see in Chicago?”)
edit text (for example: “Make this email sound more professional.”), or
get advice (for example: “What should I think about before buying a new car?”).

Many people believe that chatbots will soon be used in many parts of our lives.",Continue,,,,,2023-11-01,generation
generation1,3,reading,"Background on Chatbot Personalization
Current chatbots don't remember past conversations with you and don't use personal information about you. They only remember what you wrote inside the chat window that you are using at that time.
Some people believe that chatbots could be more helpful if they were personalized. This means that the chatbot could tailor its answers based on previous conversations you had with it, along with other information it might have about you, such as where you live or how old you are. 
Other people believe that such personalization could be risky.We will now describe to you 3 example scenarios for how chatbots might be personalized in the future.",Continue,,,,,2023-11-01,generation
generation1,4,text,"Example Scenarios
A user asks a chatbot: “Give me the news highlights from last week.” 
The chatbot knows from previous interactions that the user leans towards one political party and primarily reads news from outlets that support that party's viewpoint. Should the chatbot focus on news from such outlets?
Please give us your thoughts in a sentence or two.",,,,,"Yes, that's not much different than search aggregators like google. It may cause some bias but the reader will generally gravitate towards their own bias anyway.",2023-11-01,generation
generation1,5,text,"Example Scenarios
A user asks a chatbot: “Tell me about World War 2.” 
Based on previous conversations, it appears that the user suffers from depression. To avoid distressing the user, should the chatbot approach the topic in a more gentle manner than it usually would?
Please give us your thoughts in a sentence or two.",,,,,I don't think so as this may just be a general query related to their interests or it could be a project they need to complete. The information shouldn't be censored.,2023-11-01,generation
generation1,6,text,"Example Scenarios
A female user asks a chatbot: “Should I have red or white wine with fish?”
In recent conversations, the user has mentioned experiencing nausea and fatigue, which could be early signs of pregnancy. If the user is indeed pregnant, it is recommended not to drink alcohol. Should the chatbot bring up this possibility?
Please give us your thoughts in a sentence or two.",,,,,I don't think it should because nausea and fatigue are really broad symptoms. Unless the user previously searched things related to pregnancy.,2023-11-01,generation
generation1,7,reading,"Overview
There are two parts remaining in this survey:


First, we will ask you 5 questions to understand your opinion regarding chatbot personalization in depth.


Then, in the last part of the survey, we will ask you to rate other opinions.


These are the most important parts of the survey. As mentioned, we will reward thoughtful answers with a bonus $2.",Continue,,,,,2023-11-01,generation
generation1,8,text,"Your Opinion
In your opinion, what are the trade-offs of personalizing versus not personalizing chatbots? To illustrate these trade-offs, please give two new example scenarios and discuss for each of them what the advantages and drawbacks of a personalized chatbot-answer would be.",,,,,I think personalizing chatbots could provide better search results especially if the query is something that would be personal like a purchase. In this example the purchase could be from a few select brands the user really likes and enjoys and the chatbot could guide them effectively towards a specific brand in which the user would prefer anyway. Not personalizing could also work in an opposite way for purchasing as well. Someone who generally prefers one or two brands could be provided information about a different brand they would have never tried if the chatbot didn't refer them to that particular product.,2023-11-01,generation
generation1,9,text,"Your Opinion
Suppose that you had the power of designing the rules for chatbot personalization that all chatbot companies would have to follow. What would these rules be? In what cases should/shouldn't chatbots give personalized answers?
Please put particular emphasis on rules you consider important but other people may not have thought of or may not agree with.",,,,,The information and prior background information could potentially be a toggle switch the user could define in the initial setup of the chatbot. For medical information I think chatbots may be able to give personalized answers if the user allows the chatbot to search and use previous information. I think general purchasing behavior may also be a sensitive subject which may provide too much information. I think any time there should be an opt in/out option upon chatbot startup.,2023-11-01,generation
generation1,10,text,"Your Opinion
Suppose you had to convince others of your proposed rules, what would be your strongest arguments?",,,,,People should have the option to use or not use their personal information and searches. It is fully up to them to decide whether to release that information to the chatbot or not.,2023-11-01,generation
generation1,11,text,"Your Opinion
What would be the strongest argument against your rules, and how would you address it?",,,,,Many consumers don't know their information may be used against them. Most people generally just allow companies to track information and data without actually reading the consent. ,2023-11-01,generation
generation1,12,text,"Your Opinion
Are there any questions you would have liked to ask an expert to help you come up with your rules? Which ones?",,,,,"How much data and information is provided and whom may be the provider of information. My medical records are clearly a distinct file from my purchasing habits and other more general information such as political orientation, etc. ",2023-11-01,generation
generation1,13,reading,"Rating Summary Statements
This is the last part of the survey. To summarize the opinions you and other participants expressed in this survey, we will write a handful of summary-statements, each representing a group of people.
To find a good summary-statement for you, we will now ask you to rate 6 potential summary-statements.",Continue,,,,,2023-11-01,generation
generation1,14,multiple choice + text,"Rating Summary Statements
Consider the following statement:

""The most important rule for chatbot personalization is to always offer an opt-out. Mandatory personalization disregards user autonomy. For example, a person might not want location-based suggestions just because they mentioned a city once.""

To what extent does this statement capture your full opinion regarding chatbot personalization?
Briefly explain your choice.",,"[""not at all"", ""poorly"", ""somewhat"", ""mostly"", ""perfectly""]",mostly,3.0,"I agree, allowing a person to choose to personalize is ultimately and should be the users preference.",2023-11-01,generation
generation1,15,multiple choice + text,"Rating Summary Statements
Consider the following statement:

""The most important rule for chatbot personalization is to remain purely factual, foregoing any emotional or social inferences. Personal touches may muddle the information. For example, a user asking about divorce laws probably isn't seeking relationship advice.""

To what extent does this statement capture your full opinion regarding chatbot personalization?
Briefly explain your choice.",,"[""not at all"", ""poorly"", ""somewhat"", ""mostly"", ""perfectly""]",somewhat,2.0,I understand this logical line of thinking but if you're provided with the option or options? Maybe you can be provided with both the personalized option and the non-personalized option at the same time.,2023-11-01,generation
generation1,16,multiple choice + text,"Rating Summary Statements
Consider the following statement:

""The most important rule for chatbot personalization is complete avoidance; it's a ticking time bomb for privacy invasion. For example, a chatbot revealing someone's sexual orientation could be life-threatening in certain countries.""

To what extent does this statement capture your full opinion regarding chatbot personalization?
Briefly explain your choice.",,"[""not at all"", ""poorly"", ""somewhat"", ""mostly"", ""perfectly""]",poorly,1.0,I'm not sure how life-threatening personalized information to a chatbot could be but I guess I could see this in highly regulated countries.,2023-11-01,generation
generation1,17,multiple choice + text,"Rating Summary Statements
Consider the following statement:

""The most important rule for chatbot personalization is to make it hyper-personalized to the extent of predicting user needs. For instance, if I often ask for jokes when I'm down, the chatbot should initiate humor during my low moments.""

To what extent does this statement capture your full opinion regarding chatbot personalization?
Briefly explain your choice.",,"[""not at all"", ""poorly"", ""somewhat"", ""mostly"", ""perfectly""]",somewhat,2.0,I don't quite believe this one. A user may not always be in the mood or want to have personalized information and would prefer straight facts.,2023-11-01,generation
generation1,18,multiple choice + text,"Rating Summary Statements
Consider the following statement:

""The most important rule for chatbot personalization is to adhere to stringent political correctness. Any deviation could cause significant reputational damage to the company. Imagine a chatbot making a culturally insensitive joke based on user history.""

To what extent does this statement capture your full opinion regarding chatbot personalization?
Briefly explain your choice.",,"[""not at all"", ""poorly"", ""somewhat"", ""mostly"", ""perfectly""]",somewhat,2.0,I generally don't think jokes are a strong suit of chatbots yet. I partially agree with the user in that there are context clues that chatbots may not be able to catch.,2023-11-01,generation
